
Tempo total de execução: 0.941915 segundo(s).

Origem: 0 	 Destino: 127 	 Distância: 0
Origem: 0 	 Destino: 128 	 Distância: 0
Origem: 0 	 Destino: 129 	 Distância: 0
Origem: 0 	 Destino: 130 	 Distância: 0
Origem: 0 	 Destino: 131 	 Distância: 0
Origem: 0 	 Destino: 132 	 Distância: 0
Origem: 0 	 Destino: 133 	 Distância: 0
Origem: 0 	 Destino: 134 	 Distância: 0
Origem: 0 	 Destino: 135 	 Distância: 0
Origem: 0 	 Destino: 136 	 Distância: 0
Origem: 0 	 Destino: 137 	 Distância: 0
Origem: 0 	 Destino: 138 	 Distância: 0
Origem: 0 	 Destino: 139 	 Distância: 0
Origem: 0 	 Destino: 140 	 Distância: 0
Origem: 0 	 Destino: 141 	 Distância: 0
Origem: 0 	 Destino: 142 	 Distância: 0
Origem: 0 	 Destino: 143 	 Distância: 0
Origem: 0 	 Destino: 144 	 Distância: 0
Origem: 0 	 Destino: 145 	 Distância: 0
Origem: 0 	 Destino: 146 	 Distância: 0
Origem: 0 	 Destino: 147 	 Distância: 0
Origem: 0 	 Destino: 148 	 Distância: 0
Origem: 0 	 Destino: 149 	 Distância: 0
Origem: 0 	 Destino: 150 	 Distância: 0
Origem: 0 	 Destino: 151 	 Distância: 0
Origem: 0 	 Destino: 152 	 Distância: 0
Origem: 0 	 Destino: 153 	 Distância: 0
Origem: 0 	 Destino: 154 	 Distância: 0
Origem: 0 	 Destino: 155 	 Distância: 0
Origem: 0 	 Destino: 156 	 Distância: 0
Origem: 0 	 Destino: 157 	 Distância: 0
Origem: 0 	 Destino: 158 	 Distância: 0
Origem: 0 	 Destino: 159 	 Distância: 0
Origem: 0 	 Destino: 160 	 Distância: 0
Origem: 0 	 Destino: 161 	 Distância: 0
Origem: 0 	 Destino: 162 	 Distância: 0
Origem: 0 	 Destino: 163 	 Distância: 0
Origem: 0 	 Destino: 164 	 Distância: 0
Origem: 0 	 Destino: 165 	 Distância: 0
Origem: 0 	 Destino: 166 	 Distância: 0
Origem: 0 	 Destino: 167 	 Distância: 0
Origem: 0 	 Destino: 168 	 Distância: 0
Origem: 0 	 Destino: 169 	 Distância: 0
Origem: 0 	 Destino: 170 	 Distância: 0
Origem: 0 	 Destino: 171 	 Distância: 0
Origem: 0 	 Destino: 172 	 Distância: 0
Origem: 0 	 Destino: 173 	 Distância: 0
Origem: 0 	 Destino: 174 	 Distância: 0
Origem: 0 	 Destino: 175 	 Distância: 0
Origem: 0 	 Destino: 176 	 Distância: 0
Origem: 0 	 Destino: 177 	 Distância: 0
Origem: 0 	 Destino: 178 	 Distância: 0
Origem: 0 	 Destino: 179 	 Distância: 0
Origem: 0 	 Destino: 180 	 Distância: 0
Origem: 0 	 Destino: 181 	 Distância: 0
Origem: 0 	 Destino: 182 	 Distância: 0
Origem: 0 	 Destino: 183 	 Distância: 0
Origem: 0 	 Destino: 184 	 Distância: 0
Origem: 0 	 Destino: 185 	 Distância: 0
Origem: 0 	 Destino: 186 	 Distância: 0
Origem: 0 	 Destino: 187 	 Distância: 0
Origem: 0 	 Destino: 188 	 Distância: 0
Origem: 0 	 Destino: 189 	 Distância: 0
Origem: 0 	 Destino: 190 	 Distância: 0
Origem: 0 	 Destino: 191 	 Distância: 0
Origem: 0 	 Destino: 192 	 Distância: 0
Origem: 0 	 Destino: 193 	 Distância: 0
Origem: 0 	 Destino: 194 	 Distância: 0
Origem: 0 	 Destino: 195 	 Distância: 0
Origem: 0 	 Destino: 196 	 Distância: 0
Origem: 0 	 Destino: 197 	 Distância: 0
Origem: 0 	 Destino: 198 	 Distância: 0
Origem: 0 	 Destino: 199 	 Distância: 0
Origem: 0 	 Destino: 200 	 Distância: 0
Origem: 0 	 Destino: 201 	 Distância: 0
Origem: 0 	 Destino: 202 	 Distância: 0
Origem: 0 	 Destino: 203 	 Distância: 0
Origem: 0 	 Destino: 204 	 Distância: 0
Origem: 0 	 Destino: 205 	 Distância: 0
Origem: 0 	 Destino: 206 	 Distância: 0
Origem: 0 	 Destino: 207 	 Distância: 0
Origem: 0 	 Destino: 208 	 Distância: 0
Origem: 0 	 Destino: 209 	 Distância: 0
Origem: 0 	 Destino: 210 	 Distância: 0
Origem: 0 	 Destino: 211 	 Distância: 0
Origem: 0 	 Destino: 212 	 Distância: 0
Origem: 0 	 Destino: 213 	 Distância: 0
Origem: 0 	 Destino: 214 	 Distância: 0
Origem: 0 	 Destino: 215 	 Distância: 0
Origem: 0 	 Destino: 216 	 Distância: 0
Origem: 0 	 Destino: 217 	 Distância: 0
Origem: 0 	 Destino: 218 	 Distância: 0
Origem: 0 	 Destino: 219 	 Distância: 0
Origem: 0 	 Destino: 220 	 Distância: 0
Origem: 0 	 Destino: 221 	 Distância: 0
Origem: 0 	 Destino: 222 	 Distância: 0
Origem: 0 	 Destino: 223 	 Distância: 0
Origem: 0 	 Destino: 224 	 Distância: 0
Origem: 0 	 Destino: 225 	 Distância: 0
Origem: 0 	 Destino: 226 	 Distância: 0
Origem: 0 	 Destino: 227 	 Distância: 0
Origem: 0 	 Destino: 228 	 Distância: 0
Origem: 0 	 Destino: 229 	 Distância: 0
Origem: 0 	 Destino: 230 	 Distância: 0
Origem: 0 	 Destino: 231 	 Distância: 0
Origem: 0 	 Destino: 232 	 Distância: 0
Origem: 0 	 Destino: 233 	 Distância: 0
Origem: 0 	 Destino: 234 	 Distância: 0
Origem: 0 	 Destino: 235 	 Distância: 0
Origem: 0 	 Destino: 236 	 Distância: 0
Origem: 0 	 Destino: 237 	 Distância: 0
Origem: 0 	 Destino: 238 	 Distância: 0
Origem: 0 	 Destino: 239 	 Distância: 0
Origem: 0 	 Destino: 240 	 Distância: 0
Origem: 0 	 Destino: 241 	 Distância: 0
Origem: 0 	 Destino: 242 	 Distância: 0
Origem: 0 	 Destino: 243 	 Distância: 0
Origem: 0 	 Destino: 244 	 Distância: 0
Origem: 0 	 Destino: 245 	 Distância: 0
Origem: 0 	 Destino: 246 	 Distância: 0
Origem: 0 	 Destino: 247 	 Distância: 0
Origem: 0 	 Destino: 248 	 Distância: 0
Origem: 0 	 Destino: 249 	 Distância: 0
Origem: 0 	 Destino: 250 	 Distância: 0
Origem: 0 	 Destino: 251 	 Distância: 0
Origem: 0 	 Destino: 252 	 Distância: 0
Origem: 0 	 Destino: 253 	 Distância: 0
Origem: 0 	 Destino: 254 	 Distância: 0
Origem: 0 	 Destino: 255 	 Distância: 0
Origem: 0 	 Destino: 256 	 Distância: 0
Origem: 0 	 Destino: 257 	 Distância: 0
Origem: 0 	 Destino: 258 	 Distância: 0
Origem: 0 	 Destino: 259 	 Distância: 0
Origem: 0 	 Destino: 260 	 Distância: 0
Origem: 0 	 Destino: 261 	 Distância: 0
Origem: 0 	 Destino: 262 	 Distância: 0
Origem: 0 	 Destino: 263 	 Distância: 0
Origem: 0 	 Destino: 264 	 Distância: 0
Origem: 0 	 Destino: 265 	 Distância: 0
Origem: 0 	 Destino: 266 	 Distância: 0
Origem: 0 	 Destino: 267 	 Distância: 0
Origem: 0 	 Destino: 268 	 Distância: 0
Origem: 0 	 Destino: 269 	 Distância: 0
Origem: 0 	 Destino: 270 	 Distância: 0
Origem: 0 	 Destino: 271 	 Distância: 0
Origem: 0 	 Destino: 272 	 Distância: 0
Origem: 0 	 Destino: 273 	 Distância: 0
Origem: 0 	 Destino: 274 	 Distância: 0
Origem: 0 	 Destino: 275 	 Distância: 0
Origem: 0 	 Destino: 276 	 Distância: 0
Origem: 0 	 Destino: 277 	 Distância: 0
Origem: 0 	 Destino: 278 	 Distância: 0
Origem: 0 	 Destino: 279 	 Distância: 0
Origem: 0 	 Destino: 280 	 Distância: 0
Origem: 0 	 Destino: 281 	 Distância: 0
Origem: 0 	 Destino: 282 	 Distância: 0
Origem: 0 	 Destino: 283 	 Distância: 0
Origem: 0 	 Destino: 284 	 Distância: 0
Origem: 0 	 Destino: 285 	 Distância: 0
Origem: 0 	 Destino: 286 	 Distância: 0
Origem: 0 	 Destino: 287 	 Distância: 0
Origem: 0 	 Destino: 288 	 Distância: 0
Origem: 0 	 Destino: 289 	 Distância: 0
Origem: 0 	 Destino: 290 	 Distância: 0
Origem: 0 	 Destino: 291 	 Distância: 0
Origem: 0 	 Destino: 292 	 Distância: 0
Origem: 0 	 Destino: 293 	 Distância: 0
Origem: 0 	 Destino: 294 	 Distância: 0
Origem: 0 	 Destino: 295 	 Distância: 0
Origem: 0 	 Destino: 296 	 Distância: 0
Origem: 0 	 Destino: 297 	 Distância: 0
Origem: 0 	 Destino: 298 	 Distância: 0
Origem: 0 	 Destino: 299 	 Distância: 0
Origem: 0 	 Destino: 300 	 Distância: 0
Origem: 0 	 Destino: 301 	 Distância: 0
Origem: 0 	 Destino: 302 	 Distância: 0
Origem: 0 	 Destino: 303 	 Distância: 0
Origem: 0 	 Destino: 304 	 Distância: 0
Origem: 0 	 Destino: 305 	 Distância: 0
Origem: 0 	 Destino: 306 	 Distância: 0
Origem: 0 	 Destino: 307 	 Distância: 0
Origem: 0 	 Destino: 308 	 Distância: 0
Origem: 0 	 Destino: 309 	 Distância: 0
Origem: 0 	 Destino: 310 	 Distância: 0
Origem: 0 	 Destino: 311 	 Distância: 0
Origem: 0 	 Destino: 312 	 Distância: 0
Origem: 0 	 Destino: 313 	 Distância: 0
Origem: 0 	 Destino: 314 	 Distância: 0
Origem: 0 	 Destino: 315 	 Distância: 0
Origem: 0 	 Destino: 316 	 Distância: 0
Origem: 0 	 Destino: 317 	 Distância: 0
Origem: 0 	 Destino: 318 	 Distância: 0
Origem: 0 	 Destino: 319 	 Distância: 0
Origem: 0 	 Destino: 320 	 Distância: 0
Origem: 0 	 Destino: 321 	 Distância: 0
Origem: 0 	 Destino: 322 	 Distância: 0
Origem: 0 	 Destino: 323 	 Distância: 0
Origem: 0 	 Destino: 324 	 Distância: 0
Origem: 0 	 Destino: 325 	 Distância: 0
Origem: 0 	 Destino: 326 	 Distância: 0
Origem: 0 	 Destino: 327 	 Distância: 0
Origem: 0 	 Destino: 328 	 Distância: 0
Origem: 0 	 Destino: 329 	 Distância: 0
Origem: 0 	 Destino: 330 	 Distância: 0
Origem: 0 	 Destino: 331 	 Distância: 0
Origem: 0 	 Destino: 332 	 Distância: 0
Origem: 0 	 Destino: 333 	 Distância: 0
Origem: 0 	 Destino: 334 	 Distância: 0
Origem: 0 	 Destino: 335 	 Distância: 0
Origem: 0 	 Destino: 336 	 Distância: 0
Origem: 0 	 Destino: 337 	 Distância: 0
Origem: 0 	 Destino: 338 	 Distância: 0
Origem: 0 	 Destino: 339 	 Distância: 0
Origem: 0 	 Destino: 340 	 Distância: 0
Origem: 0 	 Destino: 341 	 Distância: 0
Origem: 0 	 Destino: 342 	 Distância: 0
Origem: 0 	 Destino: 343 	 Distância: 0
Origem: 0 	 Destino: 344 	 Distância: 0
Origem: 0 	 Destino: 345 	 Distância: 0
Origem: 0 	 Destino: 346 	 Distância: 0
Origem: 0 	 Destino: 347 	 Distância: 0
Origem: 0 	 Destino: 348 	 Distância: 0
Origem: 0 	 Destino: 349 	 Distância: 0
Origem: 0 	 Destino: 350 	 Distância: 0
Origem: 0 	 Destino: 351 	 Distância: 0
Origem: 0 	 Destino: 352 	 Distância: 0
Origem: 0 	 Destino: 353 	 Distância: 0
Origem: 0 	 Destino: 354 	 Distância: 0
Origem: 0 	 Destino: 355 	 Distância: 0
Origem: 0 	 Destino: 356 	 Distância: 0
Origem: 0 	 Destino: 357 	 Distância: 0
Origem: 0 	 Destino: 358 	 Distância: 0
Origem: 0 	 Destino: 359 	 Distância: 0
Origem: 0 	 Destino: 360 	 Distância: 0
Origem: 0 	 Destino: 361 	 Distância: 0
Origem: 0 	 Destino: 362 	 Distância: 0
Origem: 0 	 Destino: 363 	 Distância: 0
Origem: 0 	 Destino: 364 	 Distância: 0
